Timestamp,Time,Source,Destination,Discovery,Packet_length,Payload_length,Sequence_number,Mac,Manufacturer,Src_device,Dst_device,Burst
1621903724,2021-05-25 05:48:44,0x0000cbf8,0x00000000,0x00000001,53,16,50,28:6d:97:00:01:11:01:c1,"SAMJIN Co., Ltd.",ZED,ZC,1
1621903724,2021-05-25 05:48:44,0x00000000,0x0000cbf8,0x00000001,45,8,231,24:fd:5b:00:00:02:1d:72,"SAMJIN Co., Ltd.",ZC,ZED,1
1621903724,2021-05-25 05:48:44,0x00000000,0x0000cbf8,0x00000000,50,13,233,24:fd:5b:00:00:02:1d:72,"SAMJIN Co., Ltd.",ZC,ZED,1
1621903724,2021-05-25 05:48:44,0x0000cbf8,0x00000000,0x00000000,45,8,51,28:6d:97:00:01:11:01:c1,"SAMJIN Co., Ltd.",ZED,ZC,1
1621903764,2021-05-25 05:49:24,0x00003d35,0x00000000,0x00000001,69,32,70,24:fd:5b:00:01:07:18:e8,"SmartThings, Inc.",ZED,ZC,2
1621903764,2021-05-25 05:49:24,0x00000000,0x00003d35,0x00000001,45,8,237,24:fd:5b:00:00:02:1d:72,"SmartThings, Inc.",ZC,ZED,2
1621903765,2021-05-25 05:49:25,0x00003d35,0x00000000,0x00000001,65,28,72,24:fd:5b:00:01:07:18:e8,"SmartThings, Inc.",ZED,ZC,2
1621903765,2021-05-25 05:49:25,0x00000000,0x00003d35,0x00000001,45,8,238,24:fd:5b:00:00:02:1d:72,"SmartThings, Inc.",ZC,ZED,2
1621903766,2021-05-25 05:49:26,0x00003d35,0x00000000,0x00000001,65,28,74,24:fd:5b:00:01:07:18:e8,"SmartThings, Inc.",ZED,ZC,2
1621903766,2021-05-25 05:49:26,0x00000000,0x00003d35,0x00000001,45,8,239,24:fd:5b:00:00:02:1d:72,"SmartThings, Inc.",ZC,ZED,2
1621903767,2021-05-25 05:49:27,0x00003d35,0x00000000,0x00000001,65,28,76,24:fd:5b:00:01:07:18:e8,"SmartThings, Inc.",ZED,ZC,2
1621903767,2021-05-25 05:49:27,0x00000000,0x00003d35,0x00000001,45,8,241,24:fd:5b:00:00:02:1d:72,"SmartThings, Inc.",ZC,ZED,2
1621903777,2021-05-25 05:49:37,0x00003d35,0x00000000,0x00000001,54,17,78,24:fd:5b:00:01:07:18:e8,"SmartThings, Inc.",ZED,ZC,3
1621903777,2021-05-25 05:49:37,0x00000000,0x00003d35,0x00000001,45,8,242,24:fd:5b:00:00:02:1d:72,"SmartThings, Inc.",ZC,ZED,3
1621903779,2021-05-25 05:49:39,0x0000f6cd,0x00000000,0x00000001,52,15,183,00:12:4b:00:22:ee:28:a8,Texas Instruments,ZR,ZC,4
1621903779,2021-05-25 05:49:39,0x00000000,0x0000f6cd,0x00000000,50,13,244,24:fd:5b:00:00:02:1d:72,Texas Instruments,ZC,ZR,4
1621903779,2021-05-25 05:49:39,0x0000f6cd,0x00000000,0x00000001,45,8,185,00:12:4b:00:22:ee:28:a8,Texas Instruments,ZR,ZC,4
1621903814,2021-05-25 05:50:14,0x00005465,0x00000000,0x00000000,57,20,122,08:6b:d7:ff:fe:6e:6d:99,Silicon Laboratories,ZR,ZC,5
1621903814,2021-05-25 05:50:14,0x00000000,0x00005465,0x00000000,49,8,249,24:fd:5b:00:00:02:1d:72,Silicon Laboratories,ZC,ZR,5
1621903814,2021-05-25 05:50:14,0x00000000,0x00005465,0x00000000,53,12,251,24:fd:5b:00:00:02:1d:72,Silicon Laboratories,ZC,ZR,5
1621903814,2021-05-25 05:50:14,0x00005465,0x00000000,0x00000000,45,8,124,08:6b:d7:ff:fe:6e:6d:99,Silicon Laboratories,ZR,ZC,5
1621903820,2021-05-25 05:50:20,0x00003d35,0x00000000,0x00000001,53,16,80,24:fd:5b:00:01:07:18:e8,"SmartThings, Inc.",ZED,ZC,6
1621903820,2021-05-25 05:50:20,0x00000000,0x00003d35,0x00000001,45,8,252,24:fd:5b:00:00:02:1d:72,"SmartThings, Inc.",ZC,ZED,6
1621903871,2021-05-25 05:51:11,0x00004360,0x00000000,0x00000001,48,11,0,00:0d:6f:00:0b:5c:a1:98,Ember Corporation,ZED,ZC,7
1621903872,2021-05-25 05:51:12,0x00000000,0x00004360,0x00000001,45,8,1,24:fd:5b:00:00:02:1d:72,Ember Corporation,ZC,ZED,7
1621903872,2021-05-25 05:51:12,0x00000000,0x00004360,0x00000000,51,14,3,24:fd:5b:00:00:02:1d:72,Ember Corporation,ZC,ZED,7
